Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-05-23 11:00:00
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1716483676	391834020	4844	8	""	2024-05-23	11:01:16	5438.939	446.1907	2102.825	39.346	55.0003	26.9103	51.1432	0.00205324	11.0727	54.5005	54.75	0.26661	24.0954	 52
DATA	1716483677	391834020	4848	8	""	2024-05-23	11:01:17	5437.5273	447.58051	2101.9873	39.3456	55.0003	26.9086	51.1432	0.00200152	11.0725	54.5007	-21.75	0.26661	24.0954	 51
DATA	1716483678	391834020	4852	8	""	2024-05-23	11:01:18	5410.7422	441.75409	2101.9478	39.3456	55.0003	26.9103	51.1432	0.002028	11.0731	54.5009	15	0.26661	24.095	197
DATA	1716483679	391834020	4856	8	""	2024-05-23	11:01:19	5397.2153	444.46039	2100.9067	39.3464	55.0003	26.9123	51.1432	0.00199313	11.0733	54.5011	5	0.26661	24.097	  9
DATA	1716483680	391834020	4860	8	""	2024-05-23	11:01:20	5385.5098	444.59488	2102.0864	39.3464	55.0003	26.9123	51.1432	0.00204357	11.0734	54.5009	-50.5	0.26661	24.097	201
DATA	1716483681	391834020	4864	8	""	2024-05-23	11:01:21	5380.1372	446.04199	2102.3142	39.3468	55.0003	26.9127	51.1432	0.00202705	11.0745	54.5007	-19	0.26661	24.097	 85
DATA	1716483682	391834020	4868	8	""	2024-05-23	11:01:22	5382.3159	445.59186	2102.0811	39.346	55.0003	26.909	51.1432	0.00204213	11.0734	54.5005	4	0.26661	24.0958	201
DATA	1716483683	391834020	4872	8	""	2024-05-23	11:01:23	5386.0659	445.50183	2102.8484	39.3468	55.0003	26.9099	51.1432	0.00201862	11.0729	54.5005	118.75	0.26661	24.0982	 71
DATA	1716483684	391494035	4876	8	""	2024-05-23	11:01:24	5382.4287	447.41306	2102.135	39.3468	55.0003	26.9111	51.1432	0.00203031	11.0723	54.5005	57.5	0.26661	24.0966	144
DATA	1716483685	391494035	4880	8	""	2024-05-23	11:01:25	5377.8018	446.90787	2103.4502	39.346	55.0001	26.9136	51.1432	0.00200451	11.0734	54.5005	-94.25	0.26661	24.0962	254
DATA	1716483686	391494035	4884	8	""	2024-05-23	11:01:26	5379.8066	442.08649	2102.3884	39.346	55.0003	26.9127	51.1432	0.00203446	11.0742	54.5005	44.5	0.26661	24.0958	181
DATA	1716483687	391494035	4888	8	""	2024-05-23	11:01:27	5377.8711	444.52322	2101.1643	39.346	55.0003	26.9132	51.1432	0.00203521	11.0737	54.5005	-46	0.26661	24.0962	 98
DATA	1716483688	391494035	4892	8	""	2024-05-23	11:01:28	5368.8853	444.13	2101.4092	39.3468	55.0001	26.9136	51.1432	0.00204887	11.073	54.5005	63.75	0.26661	24.0962	 76
DATA	1716483689	391494035	4896	8	""	2024-05-23	11:01:29	5372.4775	447.42053	2101.5493	39.3472	55.0001	26.9144	51.1432	0.00201433	11.0734	54.5005	-188	0.26661	24.0962	216
