T,C
23-May-2024 11:07:25,459.30939
23-May-2024 11:07:26,451.16702
23-May-2024 11:07:27,452.43622
23-May-2024 11:07:28,447.62613
23-May-2024 11:07:29,448.21686
23-May-2024 11:07:30,450.62646
23-May-2024 11:07:31,456.23834
23-May-2024 11:07:32,461.33911
23-May-2024 11:07:33,464.08127
23-May-2024 11:07:34,459.2153
23-May-2024 11:07:35,460.54172
23-May-2024 11:07:36,460.38507
23-May-2024 11:07:37,459.51016
23-May-2024 11:07:38,458.61661
23-May-2024 11:07:39,453.6778
23-May-2024 11:07:40,445.79456
23-May-2024 11:07:41,447.41284
23-May-2024 11:07:42,448.77826
23-May-2024 11:07:43,446.70764
23-May-2024 11:07:44,447.82175
23-May-2024 11:07:45,450.84305
23-May-2024 11:07:46,445.62637
23-May-2024 11:07:47,447.66772
23-May-2024 11:07:48,447.33914
23-May-2024 11:07:49,446.14987
23-May-2024 11:07:50,448.9975
23-May-2024 11:07:51,448.99356
23-May-2024 11:07:52,444.31284
23-May-2024 11:07:53,445.10049
23-May-2024 11:07:54,444.79974
23-May-2024 11:07:55,442.71848
23-May-2024 11:07:56,442.54749
23-May-2024 11:07:57,447.80716
23-May-2024 11:07:58,450.21899
23-May-2024 11:07:59,447.99719
23-May-2024 11:08:00,448.02859
23-May-2024 11:08:01,447.20477
23-May-2024 11:08:02,446.21515
23-May-2024 11:08:03,445.37927
23-May-2024 11:08:04,448.54395
23-May-2024 11:08:05,450.55417
23-May-2024 11:08:06,449.37735
23-May-2024 11:08:07,452.38086
23-May-2024 11:08:08,452.67819
23-May-2024 11:08:09,455.93805
23-May-2024 11:08:10,451.17923
23-May-2024 11:08:11,451.1615
23-May-2024 11:08:12,453.33499
23-May-2024 11:08:13,449.36783
23-May-2024 11:08:14,448.54382
23-May-2024 11:08:15,452.08588
23-May-2024 11:08:16,451.02811
23-May-2024 11:08:17,450.96561
23-May-2024 11:08:18,452.25638
23-May-2024 11:08:19,451.1478
23-May-2024 11:08:20,453.42355
23-May-2024 11:08:21,444.85345
23-May-2024 11:08:22,447.63348
23-May-2024 11:08:23,450.76324
23-May-2024 11:08:24,449.15387
23-May-2024 11:08:25,449.36743
23-May-2024 11:08:26,448.07278
23-May-2024 11:08:27,446.02283
23-May-2024 11:08:28,448.9852
23-May-2024 11:08:29,445.52615
23-May-2024 11:08:30,447.58527
23-May-2024 11:08:31,451.59689
23-May-2024 11:08:32,447.06085
23-May-2024 11:08:33,525.90863
23-May-2024 11:08:34,730.84277
23-May-2024 11:08:35,649.21753
23-May-2024 11:08:36,478.48367
23-May-2024 11:08:37,464.41336
23-May-2024 11:08:38,498.00183
23-May-2024 11:08:39,605.84369
23-May-2024 11:08:40,774.1767
23-May-2024 11:08:41,1025.118
23-May-2024 11:08:42,1056.2782
23-May-2024 11:08:43,1002.7554
23-May-2024 11:08:44,966.80188
23-May-2024 11:08:45,922.08264
23-May-2024 11:08:46,887.36487
23-May-2024 11:08:47,793.47986
23-May-2024 11:08:48,664.53857
23-May-2024 11:08:49,599.8512
23-May-2024 11:08:50,591.41345
23-May-2024 11:08:51,576.48572
23-May-2024 11:08:52,548.55273
23-May-2024 11:08:53,525.74512
